"LOTNO","UDATE","SNO","PAL_1","PAL_2","PAL_3"
"a001",2021/06/01 8:01:50,1,21.00227,1.63225,0.03745
"a001",2021/06/01 8:01:50,2,21.27941,1.4383255,0.06244
"a001",2021/06/01 8:01:50,3,20.19822,1.2052702,0.01101
"a001",2021/06/01 8:01:50,4,20.82138,0.8021,0.02743
"a001",2021/06/01 8:01:50,5,20.27658,0.9582749,0.08071
"a001",2021/06/01 8:01:50,6,20.5651,0.9351277,0.14481
"a001",2021/06/01 8:01:50,7,20.94541,1.1917356,0.17075
"a001",2021/06/01 8:01:50,8,20.00111,1.1871727,0.06885
"a001",2021/06/01 8:01:50,9,21.37805,0.5534,0.04292
"a001",2021/06/01 8:01:50,10,21.20135,1.7809522,0.0432
"a001",2021/06/01 8:01:50,11,22.27447,0.83629,0.07094
"a001",2021/06/01 8:01:50,12,21.85484,0.9301683,0.04006
"a001",2021/06/01 8:01:50,13,21.93084,0.6834997,0.06713
"a001",2021/06/01 8:01:50,14,21.84693,1.9582495,0.07612
"a001",2021/06/01 8:01:50,15,21.30009,1.58385,0.15919
"a001",2021/06/01 8:01:50,16,21.52072,2.2692292,0.07062
"a001",2021/06/01 8:01:50,17,0,0,0
"a001",2021/06/01 8:01:50,18,21.87657,1.0969364,0.09967
"a001",2021/06/01 8:01:50,19,20.24804,0.748177,0.05285
"a001",2021/06/01 8:01:50,20,20.2674,1.7064704,0.02576
"a001",2021/06/01 8:01:50,21,18.48917,0.73247,0.05161
"a001",2021/06/01 8:01:50,22,20.26048,0.5962882,0.05868
"a001",2021/06/01 8:01:50,23,21.05507,1.1140862,0.03659
"a001",2021/06/01 8:01:50,24,20.63013,1.2199065,0.04204
"a001",2021/06/01 8:01:50,25,19.33073,0.542973,0.05859
"a001",2021/06/01 8:01:50,26,20.40227,1.5134885,0.11908
"a001",2021/06/01 8:01:50,27,20.75251,0.5676202,0.03363
"a001",2021/06/01 8:01:50,28,21.18818,1.2556316,0.0562
"a001",2021/06/01 8:01:50,29,20.74988,1.31577,0.02999
"a001",2021/06/01 8:01:50,30,21.22719,0.70868,0.0864
"a001",2021/06/01 8:01:50,31,20.88763,0.9790612,0.04366
"a001",2021/06/01 8:01:50,32,20.49731,1.9887049,0.0711
"a001",2021/06/01 8:01:50,33,21.67612,0.95458,0.03969
"a001",2021/06/01 8:01:50,34,21.16781,1.3833674,0.1136
"a001",2021/06/01 8:01:50,35,21.65764,1.28542,0.03071
"a001",2021/06/01 8:01:50,36,21.06374,1.726008,0.06684
"a001",2021/06/01 8:01:50,37,20.06845,1.6947572,0.06312
