LOTNO,品番,検査日,検査者1,加工元,検査数,良品数,不良数,不良1,不良2,不良3,不良4,不良5
000001,33,2017-04-03,佐藤,XXX,389,389.0,0.0,0.0,0.0,0.0,0.0,0.0
000002,19,2020-04-03,佐藤,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000003,18,2020-12-03,佐藤,ZZZ,25,25.0,0.0,0.0,0.0,0.0,0.0,0.0
000004,19,2021-01-05,佐藤,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000005,42,2021-02-01,佐藤,ZZZ,70,70.0,0.0,0.0,0.0,0.0,0.0,0.0
000006,72,2017-04-03,佐藤,VVV,492,492.0,0.0,0.0,0.0,0.0,0.0,0.0
000007,19,2020-04-03,石田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000008,51,2020-12-03,石田,ZZZ,50,50.0,0.0,0.0,0.0,0.0,0.0,0.0
000009,61,2021-01-05,石田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000010,19,2021-02-01,石田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000011,72,2017-04-03,石田,VVV,292,292.0,0.0,0.0,0.0,0.0,0.0,0.0
000012,42,2020-04-03,有田,ZZZ,22,22.0,0.0,0.0,0.0,0.0,0.0,0.0
000013,64,2020-12-03,有田,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000014,61,2021-01-05,有田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000015,42,2021-02-01,大山,WWW,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0
000016,72,2017-04-04,藤田,VVV,492,490.0,2.0,2.0,0.0,0.0,0.0,0.0
000017,42,2020-04-03,有田,WWW,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000018,61,2020-12-03,有田,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000019,42,2021-01-06,有田,ZZZ,95,95.0,0.0,0.0,0.0,0.0,0.0,0.0
000020,42,2021-02-01,大山,ZZZ,38,38.0,0.0,0.0,0.0,0.0,0.0,0.0
000021,61,2017-04-05,有田,QQQ,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
000022,42,2020-04-03,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000023,61,2020-12-03,有田,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000024,74,2021-01-06,有田,ZZZ,140,140.0,0.0,0.0,0.0,0.0,0.0,0.0
000025,61,2021-02-02,大山,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000026,61,2017-04-05,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000027,18,2020-04-06,山田,ZZZ,34,34.0,0.0,0.0,0.0,0.0,0.0,0.0
000028,61,2020-12-03,有田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000029,21,2021-01-12,有田,ZZZ,145,145.0,0.0,0.0,0.0,0.0,0.0,0.0
000030,61,2021-02-02,大山,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000031,61,2017-04-05,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000032,19,2020-04-06,山田,WWW,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000033,18,2020-12-03,有田,XXX,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000034,21,2021-01-12,有田,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000035,61,2021-02-02,大山,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000036,61,2017-04-05,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000037,19,2020-04-06,有田,XXX,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000038,18,2020-12-03,有田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000039,21,2021-01-12,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000040,61,2021-02-02,大山,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000041,61,2017-04-05,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000042,21,2020-04-06,山田,WWW,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000043,19,2020-12-03,有田,XXX,35,35.0,0.0,0.0,0.0,0.0,0.0,0.0
000044,21,2021-01-12,有田,YYY,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
000045,61,2021-02-02,大山,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000046,61,2017-04-05,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000047,42,2020-04-06,山田,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000048,19,2020-12-03,有田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000049,19,2021-01-13,有田,QQQ,24,23.0,1.0,0.0,0.0,1.0,0.0,0.0
000050,21,2021-02-03,大山,QQQ,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000051,61,2017-04-05,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000052,19,2020-04-06,山田,YYY,5,4.0,1.0,1.0,0.0,0.0,0.0,0.0
000053,19,2020-12-02,有田,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000054,21,2021-01-13,有田,QQQ,50,50.0,0.0,0.0,0.0,0.0,0.0,0.0
000055,61,2021-02-03,大山,QQQ,150,150.0,0.0,0.0,0.0,0.0,0.0,0.0
000056,61,2017-04-05,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000057,42,2020-04-06,山田,ZZZ,20,19.0,1.0,0.0,0.0,0.0,0.0,1.0
000058,18,2020-12-02,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000059,21,2021-01-13,有田,XXX,133,132.0,1.0,1.0,0.0,0.0,0.0,0.0
000060,21,2021-02-02,山田,QQQ,143,143.0,0.0,0.0,0.0,0.0,0.0,0.0
000061,72,2017-04-05,藤田,VVV,502,501.0,1.0,1.0,0.0,0.0,0.0,0.0
000062,42,2020-04-06,田中,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000063,42,2020-12-02,有田,YYY,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000064,21,2021-01-13,有田,XXX,133,133.0,0.0,0.0,0.0,0.0,0.0,0.0
000065,21,2021-02-01,有田,QQQ,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000066,72,2017-04-05,大山,VVV,502,500.0,2.0,0.0,0.0,2.0,0.0,0.0
000067,42,2020-04-06,田中,ZZZ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000068,61,2020-12-02,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000069,19,2021-01-13,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000070,74,2021-02-01,有田,QQQ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000071,72,2017-04-06,鈴木,XXX,500,500.0,0.0,0.0,0.0,0.0,0.0,0.0
000072,42,2020-04-06,山田,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000073,61,2020-12-02,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000074,19,2021-01-13,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000075,33,2021-02-01,有田,XXX,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
000076,72,2017-04-06,鈴木,XXX,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000077,44,2020-04-06,田中,ZZZ,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
000078,61,2020-12-02,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000079,19,2021-01-13,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000080,21,2021-02-01,有田,XXX,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000081,72,2017-04-06,有田,XXX,502,502.0,0.0,0.0,0.0,0.0,0.0,0.0
000082,61,2020-04-06,山田,WWW,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000083,61,2020-12-01,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000084,18,2021-01-13,有田,ZZZ,50,50.0,0.0,0.0,0.0,0.0,0.0,0.0
000085,61,2021-02-01,有田,ZZZ,26,26.0,0.0,0.0,0.0,0.0,0.0,0.0
000086,42,2017-04-07,有田,XXX,340,338.0,2.0,0.0,0.0,2.0,0.0,0.0
000087,74,2020-04-06,大山,YYY,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000088,61,2020-12-01,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000089,21,2021-01-13,有田,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000090,19,2021-02-02,有田,XXX,65,65.0,0.0,0.0,0.0,0.0,0.0,0.0
000091,42,2017-04-07,有田,XXX,60,60.0,0.0,0.0,0.0,0.0,0.0,0.0
000092,74,2020-04-06,山田,ZZZ,36,36.0,0.0,0.0,0.0,0.0,0.0,0.0
000093,64,2020-12-02,山田,QQQ,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0
000094,21,2021-01-12,大山,ZZZ,150,150.0,0.0,0.0,0.0,0.0,0.0,0.0
000095,19,2021-02-04,有田,QQQ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000096,42,2017-04-07,有田,XXX,90,90.0,0.0,0.0,0.0,0.0,0.0,0.0
000097,74,2020-04-06,山田,ZZZ,95,95.0,0.0,0.0,0.0,0.0,0.0,0.0
000098,74,2020-12-03,大山,ZZZ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000099,21,2021-01-13,大山,ZZZ,165,165.0,0.0,0.0,0.0,0.0,0.0,0.0
000100,51,2021-02-04,有田,QQQ,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000101,42,2017-04-07,有田,XXX,60,60.0,0.0,0.0,0.0,0.0,0.0,0.0
000102,74,2020-04-06,大山,ZZZ,95,92.0,3.0,0.0,0.0,2.0,0.0,1.0
000103,20,2020-12-01,大山,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000104,21,2021-01-13,大山,XXX,130,128.0,2.0,1.0,0.0,1.0,0.0,0.0
000105,21,2021-02-05,有田,QQQ,80,71.0,9.0,0.0,9.0,0.0,0.0,0.0
000106,42,2017-04-07,有田,XXX,150,150.0,0.0,0.0,0.0,0.0,0.0,0.0
000107,74,2020-04-06,山田,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000108,18,2020-12-01,大山,ZZZ,35,35.0,0.0,0.0,0.0,0.0,0.0,0.0
000109,19,2021-01-13,大山,YYY,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
000110,19,2021-02-03,山田,ZZZ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000111,44,2017-04-07,有田,XXX,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000112,18,2020-04-10,山田,XXX,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000113,18,2020-12-01,山田,ZZZ,45,45.0,0.0,0.0,0.0,0.0,0.0,0.0
000114,21,2021-01-14,田中,YYY,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0
000115,21,2021-02-05,山田,QQQ,94,78.0,16.0,0.0,16.0,0.0,0.0,0.0
000116,42,2017-04-10,田中,ZZZ,125,125.0,0.0,0.0,0.0,0.0,0.0,0.0
000117,19,2020-04-10,山田,XXX,10,9.0,1.0,1.0,0.0,0.0,0.0,0.0
000118,42,2020-12-01,山田,ZZZ,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0
000119,21,2021-01-13,田中,QQQ,109,109.0,0.0,0.0,0.0,0.0,0.0,0.0
000120,21,2021-02-01,山田,QQQ,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000121,42,2017-04-10,大山,ZZZ,100,99.0,1.0,1.0,0.0,0.0,0.0,0.0
000122,19,2020-04-10,鈴木,XXX,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000123,42,2020-12-01,山田,ZZZ,160,160.0,0.0,0.0,0.0,0.0,0.0,0.0
000124,21,2021-01-12,大山,ZZZ,130,130.0,0.0,0.0,0.0,0.0,0.0,0.0
000125,21,2021-02-01,山田,QQQ,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0
000126,42,2017-04-10,藤田,ZZZ,145,145.0,0.0,0.0,0.0,0.0,0.0,0.0
000127,19,2020-04-10,鈴木,XXX,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000128,18,2020-12-01,田中,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000129,42,2021-01-08,大山,WWW,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000130,74,2021-02-02,山田,ZZZ,117,111.0,6.0,0.0,0.0,6.0,0.0,0.0
000131,42,2017-04-11,山田,XXX,320,320.0,0.0,0.0,0.0,0.0,0.0,0.0
000132,19,2020-04-10,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000133,19,2020-12-04,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000134,19,2021-01-13,山田,ZZZ,50,50.0,0.0,0.0,0.0,0.0,0.0,0.0
000135,21,2021-02-08,山田,QQQ,106,93.0,13.0,0.0,13.0,0.0,0.0,0.0
000136,42,2017-04-11,鈴木,XXX,270,270.0,0.0,0.0,0.0,0.0,0.0,0.0
000137,42,2020-04-10,大山,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000138,19,2020-12-04,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000139,61,2021-01-13,山田,ZZZ,50,50.0,0.0,0.0,0.0,0.0,0.0,0.0
000140,21,2021-02-08,山田,QQQ,53,38.0,15.0,0.0,15.0,0.0,0.0,0.0
000141,42,2017-04-11,山田,XXX,65,65.0,0.0,0.0,0.0,0.0,0.0,0.0
000142,42,2020-04-10,大山,ZZZ,25,25.0,0.0,0.0,0.0,0.0,0.0,0.0
000143,19,2020-12-04,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000144,74,2021-01-13,山田,ZZZ,60,60.0,0.0,0.0,0.0,0.0,0.0,0.0
000145,61,2021-02-01,山田,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000146,42,2017-04-11,山田,XXX,120,120.0,0.0,0.0,0.0,0.0,0.0,0.0
000147,74,2020-04-10,大山,YYY,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
000148,42,2020-12-04,田中,ZZZ,200,200.0,0.0,0.0,0.0,0.0,0.0,0.0
000149,42,2021-01-14,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000150,51,2021-02-01,山田,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000151,42,2017-04-11,山田,XXX,110,110.0,0.0,0.0,0.0,0.0,0.0,0.0
000152,61,2020-04-10,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
