:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,2
:ALARM_NAME,"0_LD_STS"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,200
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,1
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,6,"E06:安全ｶﾊﾞｰ開",R,2023/10/11 14:35:45,2023/10/12 03:55:36,****/**/** **:**:**,1,1
0,0,1,"E01:手動",R,2023/10/12 03:55:36,2023/10/12 03:56:10,****/**/** **:**:**,1,1
0,0,6,"E06:安全ｶﾊﾞｰ開",R,2023/10/12 03:56:10,2023/10/12 03:57:04,****/**/** **:**:**,1,1
0,0,2,"E02:自動",R,2023/10/12 03:57:04,2023/10/12 03:57:08,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2023/10/12 03:57:08,2023/10/12 03:57:32,****/**/** **:**:**,1,1
0,0,6,"E06:安全ｶﾊﾞｰ開",R,2023/10/12 03:57:32,2023/10/12 03:57:46,****/**/** **:**:**,1,1
0,0,2,"E02:自動",R,2023/10/12 03:57:46,2023/10/12 03:57:54,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2023/10/12 03:57:54,2023/10/12 03:58:38,****/**/** **:**:**,1,1
0,0,6,"E06:安全ｶﾊﾞｰ開",R,2023/10/12 03:58:38,2023/10/12 03:58:52,****/**/** **:**:**,1,1
0,0,2,"E02:自動",R,2023/10/12 03:58:52,2023/10/12 03:59:00,****/**/** **:**:**,1,1
