:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,3
:ALARM_NAME,"0_LD_STS_raw"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,1
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,4
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,3,"手動モード(LD→全設備）",R,2023/11/16 18:14:55,2023/11/17 08:54:55,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/16 18:14:55,2023/11/16 18:14:59,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/16 18:15:03,2023/11/16 18:15:43,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/16 18:16:29,2023/11/16 18:16:33,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/16 18:30:55,2023/11/16 18:32:39,****/**/** **:**:**,1,1
0,0,12,"不足、満杯中(LD→全設備)",R,2023/11/16 18:32:39,2023/11/16 18:32:49,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/16 18:32:47,2023/11/16 18:32:59,****/**/** **:**:**,1,1
0,0,11,"安全ｶﾊﾞｰ開中(LD→全設備)",R,2023/11/16 18:32:47,2023/11/16 18:33:03,****/**/** **:**:**,1,1
0,0,4,"原点復帰モード(LD→全設備)",R,2023/11/17 08:54:55,2023/11/17 08:54:59,****/**/** **:**:**,1,1
0,0,3,"手動モード(LD→全設備）",R,2023/11/17 08:54:59,2023/11/17 09:48:55,****/**/** **:**:**,1,1
0,0,5,"原点復帰完了(LD→全設備)",R,2023/11/17 08:54:59,2023/11/17 09:00:23,****/**/** **:**:**,1,1
0,0,12,"不足、満杯中(LD→全設備)",R,2023/11/17 09:00:23,2023/11/17 09:00:35,****/**/** **:**:**,1,1
