:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,11
:ALARM_NAME,"1_MSAPシード剥離_ALM"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,11
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,0
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,66,"ｴｯﾁﾝｸﾞ槽温度下限異常",R,2023/04/07 06:09:33,2023/04/07 06:09:59,****/**/** **:**:**,1,1
0,0,88,"搬送異常",R,2023/04/07 07:28:08,2023/04/07 07:28:16,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/07 10:23:30,2023/04/07 10:31:28,****/**/** **:**:**,1,1
0,0,113,"上流装置受け入れ搬送異常",R,2023/04/07 10:33:26,2023/04/07 10:34:04,****/**/** **:**:**,1,1
0,0,88,"搬送異常",R,2023/04/07 10:41:22,2023/04/07 10:42:34,****/**/** **:**:**,1,1
0,0,120,"ｱﾙｶﾘ洗浄槽HH",R,2023/04/07 20:19:40,2023/04/07 20:26:16,****/**/** **:**:**,1,1
0,0,128,"酸洗浄槽L",R,2023/04/07 20:23:28,2023/04/07 20:23:48,****/**/** **:**:**,1,1
0,0,142,"酸洗浄槽LL",R,2023/04/07 20:23:48,2023/04/07 20:35:36,****/**/** **:**:**,1,1
0,0,127,"ｱﾙｶﾘ洗浄槽L",R,2023/04/07 20:23:50,2023/04/07 20:24:24,****/**/** **:**:**,1,1
0,0,138,"ｱﾙｶﾘ洗浄槽LL",R,2023/04/07 20:24:24,2023/04/07 20:35:36,****/**/** **:**:**,1,1
0,0,121,"酸洗浄槽HH",R,2023/04/07 20:34:52,2023/04/07 20:54:15,****/**/** **:**:**,1,1
0,0,127,"ｱﾙｶﾘ洗浄槽L",R,2023/04/07 20:53:59,2023/04/07 20:54:33,****/**/** **:**:**,1,1
0,0,138,"ｱﾙｶﾘ洗浄槽LL",R,2023/04/07 20:54:33,2023/04/07 21:02:51,****/**/** **:**:**,1,1
0,0,145,"水洗9槽LL",R,2023/04/07 21:09:01,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,144,"水洗8槽LL",R,2023/04/07 21:09:13,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,128,"酸洗浄槽L",R,2023/04/07 21:09:21,2023/04/07 21:09:45,****/**/** **:**:**,1,1
0,0,143,"水洗7槽LL",R,2023/04/07 21:09:25,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,142,"酸洗浄槽LL",R,2023/04/07 21:09:45,2023/04/07 22:13:35,****/**/** **:**:**,1,1
0,0,141,"水洗6槽LL",R,2023/04/07 21:10:05,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,140,"水洗5槽LL",R,2023/04/07 21:10:23,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,139,"水洗4槽LL",R,2023/04/07 21:10:37,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,135,"水洗1槽LL",R,2023/04/07 21:10:47,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,137,"水洗3槽LL",R,2023/04/07 21:11:13,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,136,"水洗2槽LL",R,2023/04/07 21:11:17,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,127,"ｱﾙｶﾘ洗浄槽L",R,2023/04/07 21:11:23,2023/04/07 21:12:01,****/**/** **:**:**,1,1
0,0,133,"水ｶｰﾃﾝ槽LL",R,2023/04/07 21:11:43,2023/04/10 06:04:35,****/**/** **:**:**,1,1
0,0,138,"ｱﾙｶﾘ洗浄槽LL",R,2023/04/07 21:12:01,2023/04/07 22:13:35,****/**/** **:**:**,1,1
0,0,76,"アルカリ洗浄建浴槽→本槽移送時間超過異常",R,2023/04/07 22:10:05,2023/04/07 22:13:35,****/**/** **:**:**,1,1
0,0,66,"ｴｯﾁﾝｸﾞ槽温度下限異常",R,2023/04/10 06:05:19,2023/04/10 06:05:25,****/**/** **:**:**,1,1
