:GT2K_LOG,1
:LOGGING_ID,14
:LOGGING_NAME,"シード剥離_導電率"
:SERIAL_ID,50
:DEVICE_NUM,3
:RECORD_NUM,120
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","導電率"
:DEV_TYPE,STRING,STRING,BIN16
:DISP_TYPE,ASC,ASC,DEC
:DEV_SIZE,3,6,1
2024/03/11 09:01:09,,"LEV50001_020",2123
2024/03/11 09:01:39,,"LEV50001_020",2121
2024/03/11 09:02:09,,"LEV50001_020",2130
2024/03/11 09:02:39,,"LEV50001_020",2123
2024/03/11 09:03:09,,"LEV50001_020",2125
2024/03/11 09:03:39,,"LEV50001_020",2114
2024/03/11 09:04:09,,"LEV50001_020",2123
2024/03/11 09:04:39,,"LEV50001_020",2124
2024/03/11 09:05:09,,"LEV50001_020",2121
2024/03/11 09:05:39,,"LEV50001_020",2121
2024/03/11 09:06:09,,"LEV50001_020",2126
2024/03/11 09:06:39,,"LEV50001_020",2129
2024/03/11 09:07:09,,"LEV50001_020",2125
2024/03/11 09:07:39,,"LEV50001_020",2120
2024/03/11 09:08:09,,"LEV50001_020",2124
2024/03/11 09:08:39,,"LEV50001_020",2126
2024/03/11 09:09:09,,"LEV50001_020",2128
2024/03/11 09:09:39,,"LEV50001_020",2119
2024/03/11 09:10:09,,"LEV50001_020",2125
2024/03/11 09:10:39,,"LEV50001_020",2125
2024/03/11 09:11:09,,"LEV50001_020",2124
2024/03/11 09:11:39,,"LEV50001_020",2121
2024/03/11 09:12:09,,"LEV50001_020",2123
2024/03/11 09:12:39,,"LEV50001_020",2106
2024/03/11 09:13:09,,"LEV50001_020",2124
2024/03/11 09:13:39,,"LEV50001_020",2120
2024/03/11 09:14:09,,"LEV50001_020",2120
2024/03/11 09:14:39,,"LEV50001_020",2126
2024/03/11 09:15:13,,"LEV50001_020",2120
2024/03/11 09:15:43,,"LEV50001_020",2081
2024/03/11 09:16:12,,"LEV50001_020",2130
