:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,21
:ALARM_NAME,"2_ULD_ALM"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,21
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,0
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:25:13,2024/02/05 01:25:19,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:26:15,2024/02/05 01:26:21,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:27:19,2024/02/05 01:27:25,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:28:23,2024/02/05 01:28:29,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:29:27,2024/02/05 01:29:33,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:30:31,2024/02/05 01:30:37,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:31:35,2024/02/05 01:31:41,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:32:39,2024/02/05 01:32:45,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:33:43,2024/02/05 01:33:49,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:34:47,2024/02/05 01:34:53,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:35:51,2024/02/05 01:35:57,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:36:55,2024/02/05 01:37:01,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:37:57,2024/02/05 01:38:03,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:39:01,2024/02/05 01:39:07,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:40:05,2024/02/05 01:40:11,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:41:09,2024/02/05 01:41:15,****/**/** **:**:**,1,1
0,0,202,"A201:ﾊﾟﾈﾙIDﾊﾞｰｺｰﾄﾞ読取り異常",R,2024/02/05 01:42:13,2024/02/05 01:42:19,****/**/** **:**:**,1,1
