:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,22
:ALARM_NAME,"2_ULD_STS"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,200
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,1
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,7,"E07:不足満杯",R,2024/02/17 00:36:28,2024/02/17 00:37:26,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:37:26,2024/02/17 00:37:32,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:37:32,2024/02/17 00:38:28,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:38:28,2024/02/17 00:38:34,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:38:34,2024/02/17 00:39:32,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:39:32,2024/02/17 00:39:38,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:39:38,2024/02/17 00:40:36,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:40:36,2024/02/17 00:40:42,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:40:42,2024/02/17 00:41:38,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:41:38,2024/02/17 00:41:44,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:41:44,2024/02/17 00:42:42,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:42:42,2024/02/17 00:42:48,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:42:48,2024/02/17 00:43:46,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:43:46,2024/02/17 00:43:52,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:43:52,2024/02/17 00:44:50,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:44:50,2024/02/17 00:44:58,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:44:58,2024/02/17 00:45:54,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:45:54,2024/02/17 00:46:00,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:46:00,2024/02/17 00:46:58,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:46:58,2024/02/17 00:47:04,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:47:04,2024/02/17 00:48:02,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:48:02,2024/02/17 00:48:08,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:48:08,2024/02/17 00:49:04,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:49:04,2024/02/17 00:49:10,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:49:10,2024/02/17 00:50:08,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:50:08,2024/02/17 00:50:14,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:50:14,2024/02/17 00:51:10,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:51:10,2024/02/17 00:51:18,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:51:18,2024/02/17 00:52:14,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:52:14,2024/02/17 00:52:20,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:52:20,2024/02/17 00:53:18,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:53:18,2024/02/17 00:53:24,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:53:24,2024/02/17 00:54:20,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:54:20,2024/02/17 00:54:26,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:54:26,2024/02/17 00:55:24,****/**/** **:**:**,1,1
0,0,4,"E04:異常発生",R,2024/02/17 00:55:24,2024/02/17 00:55:30,****/**/** **:**:**,1,1
0,0,7,"E07:不足満杯",R,2024/02/17 00:55:30,2024/02/17 00:56:30,****/**/** **:**:**,1,1
