:GT2K_ALARM_LOG_HISTORY,0
:ALARM_ID,23
:ALARM_NAME,"2_ULD_STS_raw"
:RECORD_NUM,5000
:COMMENT_GROUP_GENERAL_ID,20
:COMMENT_GROUP_MIDDLE_ID,0
:COMMENT_GROUP_UPPER_ID,0
:COMMENT_GROUP_DETAIL_ID,0
:ALARM_HISTORY_NUM,5000
:NOT_RESUMED_NUM,3
:UNCONFIRMED_NUM,5000
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
UPPER_NO,MIDDLE_NO,COMMENT_NO,COMMENT,STATUS,OCCURRED,RESTORED,CHECKED,LEVEL,GROUP
0,0,2,"連動モード(ULD→全設備)",O,2023/11/21 09:23:18,****/**/** **:**:**,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:01:20,2024/03/01 02:01:30,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:01:20,2024/03/01 02:01:30,****/**/** **:**:**,1,1
0,0,8,"異常中(ULD→全設備)",R,2024/03/01 02:01:24,2024/03/01 02:01:30,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:01:34,2024/03/01 02:02:16,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:01:34,2024/03/01 02:02:16,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:02:28,2024/03/01 02:02:36,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:02:28,2024/03/01 02:02:36,****/**/** **:**:**,1,1
0,0,8,"異常中(ULD→全設備)",R,2024/03/01 02:02:30,2024/03/01 02:02:36,****/**/** **:**:**,1,1
0,0,1,"オンラインモード(ULD)",R,2024/03/01 02:02:40,2024/03/01 02:28:50,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:02:40,2024/03/01 02:17:30,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:02:40,2024/03/01 02:17:30,****/**/** **:**:**,1,1
0,0,10,"安全ｶﾊﾞｰ開中(ULD→全設備)",R,2024/03/01 02:14:12,2024/03/01 02:14:24,****/**/** **:**:**,1,1
0,0,10,"安全ｶﾊﾞｰ開中(ULD→全設備)",R,2024/03/01 02:14:32,2024/03/01 02:14:42,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:17:48,2024/03/01 02:17:56,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:17:48,2024/03/01 02:17:56,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:27:42,2024/03/01 02:27:44,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:27:42,2024/03/01 02:27:44,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:27:46,2024/03/01 02:28:44,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:27:46,2024/03/01 02:28:44,****/**/** **:**:**,1,1
0,0,10,"安全ｶﾊﾞｰ開中(ULD→全設備)",R,2024/03/01 02:28:12,2024/03/01 02:28:48,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:28:46,2024/03/01 02:29:02,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:28:46,2024/03/01 02:29:02,****/**/** **:**:**,1,1
0,0,3,"手動モード(ULD→全設備)",R,2024/03/01 02:28:52,2024/03/01 02:28:58,****/**/** **:**:**,1,1
0,0,4,"原点復帰モード(ULD→全設備)",R,2024/03/01 02:28:58,2024/03/01 02:29:00,****/**/** **:**:**,1,1
0,0,6,"自動モード(ULD→全設備)",R,2024/03/01 02:29:00,2024/03/01 02:44:24,****/**/** **:**:**,1,1
0,0,7,"運転中(ULD→全設備)",R,2024/03/01 02:29:00,2024/03/01 02:44:20,****/**/** **:**:**,1,1
0,0,11,"不足,満杯中(ULD→全設備)",R,2024/03/01 02:29:04,2024/03/01 02:44:24,****/**/** **:**:**,1,1
0,0,12,"次ﾚｼﾋﾟ投入可能(ULD→全設備)",R,2024/03/01 02:29:04,2024/03/01 02:42:26,****/**/** **:**:**,1,1
0,0,14,"装置内部パネル無(ULD→全設備)",R,2024/03/01 02:29:04,2024/03/01 02:42:26,****/**/** **:**:**,1,1
